Date/Time,Value_10,Value_11,Value_12,Value_13,Value_14,Value_15,Value_16,Value_17,Value_18,Value_19,Value_2,Value_20,Value_21,Value_23,Value_25,Value_26,Value_27,Value_29,Value_3,Value_30,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9
2023-06-29 10:00:00,20.0,19.5,20.5,20.0,20.0,20.174,19.5,20.5,20.0,19.0,19.5,19.5,20.5,19.5,20.0,19.5,20.06,20.5,20.5,20.0,20.5,19.5,20.0,19.5,20.5,19.5
2023-06-29 11:00:00,24.5,24.5,25.0,24.5,23.5,24.178,24.5,25.0,24.5,24.0,24.0,24.5,24.0,24.5,25.0,24.0,20.06,25.0,24.5,24.0,24.5,24.0,25.0,24.0,25.5,24.0
2023-06-29 12:00:00,27.0,27.5,20.5,25.5,25.0,26.178,27.5,26.5,25.0,26.0,25.5,26.5,24.5,25.5,27.5,25.5,22.061,25.0,25.0,25.5,25.0,26.0,26.5,26.0,26.0,26.0
2023-06-29 13:00:00,23.5,24.0,23.0,23.5,23.0,23.677,23.5,24.5,23.0,23.5,23.5,23.5,23.0,23.0,21.5,23.0,24.562,23.5,23.0,23.0,23.5,23.0,23.0,23.0,24.5,22.0
2023-06-29 14:00:00,29.5,25.5,25.0,32.0,30.0,33.169,31.0,31.0,31.5,30.5,32.5,35.5,31.0,32.5,23.5,30.5,26.563,32.0,32.5,32.0,33.0,35.0,30.0,31.5,33.5,23.5
2023-06-29 15:00:00,33.5,26.5,26.5,33.0,31.0,32.67,27.5,23.0,31.5,34.5,27.5,33.5,31.5,34.0,25.0,36.5,27.562,32.0,32.0,33.5,32.0,28.0,32.0,28.0,33.5,25.5
2023-06-29 16:00:00,29.0,27.0,27.5,28.0,28.0,26.178,28.0,24.5,27.0,27.5,28.0,26.5,28.0,28.0,26.5,28.5,28.062,27.0,27.0,28.5,26.0,28.5,27.5,29.5,28.5,26.5
2023-06-29 17:00:00,22.5,27.5,27.5,22.0,22.0,25.678,27.5,26.0,22.0,22.0,28.0,26.5,22.5,28.5,26.5,22.0,29.062,22.0,22.0,22.0,25.5,28.0,22.0,29.0,28.5,28.0
2023-06-29 18:00:00,21.5,27.0,26.5,21.5,21.0,25.178,25.5,26.0,21.0,21.0,27.0,25.5,21.5,27.5,26.0,21.0,27.562,21.5,21.5,21.5,25.0,26.5,21.5,27.0,27.0,29.0
2023-06-29 19:00:00,21.5,27.0,26.0,21.5,21.0,23.677,24.5,25.5,21.0,21.0,26.0,24.0,21.5,26.5,24.5,21.5,27.062,21.5,21.5,21.5,24.0,25.0,21.5,26.5,25.5,27.5
2023-06-29 20:00:00,21.5,24.5,25.5,21.5,21.0,22.176,23.0,23.5,21.5,21.5,23.0,22.0,21.5,24.0,23.0,21.5,25.563,21.5,21.5,21.5,22.5,23.5,21.5,24.5,23.0,23.5
2023-06-29 21:00:00,21.5,23.0,22.5,21.5,21.5,20.674,21.0,22.0,21.5,21.5,22.0,20.0,21.5,22.0,21.0,21.5,23.062,21.5,21.5,21.5,20.5,21.5,21.5,21.5,21.0,22.5
2023-06-29 22:00:00,21.5,22.0,21.5,21.5,21.5,19.172,19.5,20.5,21.5,21.5,20.5,18.5,21.5,20.5,19.5,21.5,21.561,21.5,21.5,21.5,19.5,20.5,21.5,20.5,19.5,22.0
2023-06-29 23:00:00,21.5,20.0,19.5,21.5,21.5,17.669,18.5,19.0,21.5,21.5,19.5,17.0,21.5,19.0,18.0,21.5,20.06,21.5,21.5,21.5,18.0,19.0,21.5,20.0,18.0,19.5
2023-06-30 00:00:00,21.5,19.0,18.5,21.5,21.5,16.666,17.0,18.0,21.5,21.5,18.0,15.0,21.5,18.0,16.5,21.5,18.558,21.5,21.5,21.5,17.0,17.5,21.5,18.0,17.0,19.0
2023-06-30 01:00:00,21.5,18.0,17.5,21.5,21.5,15.162,16.0,17.0,21.5,21.5,17.5,14.0,21.5,17.0,16.0,21.5,17.557,21.5,21.5,21.5,16.0,16.5,21.5,17.5,15.0,18.0
2023-06-30 02:00:00,21.5,17.0,16.5,21.5,21.5,14.661,15.0,16.0,21.5,21.0,15.5,13.0,21.5,16.0,15.0,21.5,16.555,21.5,21.5,21.5,15.5,15.0,21.5,16.5,14.5,17.5
2023-06-30 03:00:00,21.5,16.0,15.5,21.5,21.5,13.657,14.5,15.0,21.5,21.0,15.5,12.0,21.5,15.5,14.5,21.5,16.055,21.5,21.5,21.5,14.5,14.5,21.5,15.5,13.5,16.0
2023-06-30 04:00:00,21.5,16.0,15.5,21.5,21.0,13.657,14.5,15.0,21.5,21.0,15.0,11.5,21.5,15.0,14.5,21.5,16.055,21.5,21.5,21.5,14.0,14.0,21.5,15.0,13.0,16.5
2023-06-30 05:00:00,21.5,15.5,15.5,21.5,21.0,14.159,14.5,15.5,21.5,21.0,15.0,12.0,21.5,15.0,14.5,21.5,16.055,21.5,21.5,21.5,14.0,14.0,21.5,15.0,14.0,16.0
2023-06-30 06:00:00,21.5,15.5,15.5,21.5,21.0,14.159,14.5,15.5,21.0,21.0,15.5,13.0,21.5,15.0,14.0,21.0,16.055,21.5,21.0,21.0,14.0,14.5,21.5,15.0,14.5,16.0
2023-06-30 07:00:00,21.0,15.5,15.0,21.0,21.0,14.159,14.5,15.5,21.0,20.5,15.0,13.5,21.0,15.5,14.5,21.0,16.055,21.0,21.0,21.0,14.5,15.0,21.0,15.0,15.0,15.0
2023-06-30 08:00:00,21.0,15.5,15.5,20.5,20.5,14.661,15.0,15.5,20.5,20.0,16.0,14.0,20.5,15.5,14.5,20.5,16.555,20.5,20.5,20.5,14.5,15.5,20.5,15.0,15.0,15.5
2023-06-30 09:00:00,20.5,16.5,16.0,20.5,20.5,15.162,16.0,16.0,20.5,20.0,16.0,15.0,20.5,16.0,14.5,20.5,16.555,20.5,20.5,20.5,15.0,16.0,20.5,16.0,15.5,16.5
2023-06-30 10:00:00,20.5,17.0,16.5,20.5,20.0,15.664,16.5,17.0,20.5,20.0,17.0,15.5,20.5,17.0,15.5,20.0,18.058,20.5,20.0,20.0,15.5,17.5,20.5,17.0,16.5,16.0
2023-06-30 11:00:00,20.5,18.0,17.5,20.5,20.0,17.669,20.0,18.0,20.0,20.0,19.5,18.0,20.5,18.5,16.5,20.0,18.558,20.5,20.0,20.0,17.5,20.5,20.0,18.5,19.0,16.5
2023-06-30 12:00:00,20.5,20.0,20.0,20.5,20.0,19.673,20.5,20.0,20.5,20.0,22.0,19.5,20.5,22.0,18.0,20.0,21.561,20.5,20.0,20.5,20.0,22.0,20.5,21.5,22.0,19.5
2023-06-30 13:00:00,20.5,22.5,22.0,20.5,20.0,21.676,23.5,20.5,20.5,20.0,23.5,21.0,20.5,23.5,20.5,20.5,24.062,20.5,20.5,20.5,21.0,24.0,20.5,24.5,23.5,21.5
2023-06-30 14:00:00,20.5,24.0,23.5,20.5,20.0,22.677,24.5,21.5,20.5,20.0,24.5,22.0,20.5,24.5,23.0,20.5,25.563,20.5,20.5,20.5,22.5,24.5,20.5,25.5,24.5,22.5
2023-06-30 15:00:00,20.5,25.5,25.0,20.5,20.5,23.677,25.5,22.5,20.5,20.0,25.0,23.5,20.5,25.5,24.0,20.5,27.062,20.5,20.5,20.5,23.0,26.5,20.5,27.5,25.5,23.5
2023-06-30 16:00:00,20.5,25.5,25.5,20.5,20.5,24.178,26.0,23.5,20.5,20.0,26.5,24.0,20.5,25.5,24.5,20.5,26.563,20.5,20.5,20.5,24.0,26.0,20.5,28.5,25.5,24.5
2023-06-30 17:00:00,20.5,26.0,26.5,20.5,20.5,24.678,25.0,25.0,20.5,20.0,27.0,25.0,20.5,27.0,25.0,20.5,27.062,20.5,20.5,20.5,24.5,26.5,20.5,28.5,26.0,26.0
2023-06-30 18:00:00,21.0,26.0,25.5,21.0,20.5,24.178,25.0,25.0,20.5,20.5,27.5,25.0,21.0,27.0,25.0,21.0,27.062,21.0,21.0,21.0,24.0,26.0,21.0,27.5,26.0,27.5
2023-06-30 19:00:00,21.0,26.0,25.0,21.0,21.0,23.177,24.5,25.0,21.0,21.0,25.5,24.0,21.0,25.5,24.0,21.0,27.062,21.0,21.0,21.0,23.0,24.5,21.0,27.0,25.5,27.0
2023-06-30 20:00:00,21.5,24.0,25.0,21.5,21.0,21.676,22.5,23.0,21.0,21.0,23.0,22.0,21.5,23.5,23.0,21.0,25.063,21.0,21.5,21.5,22.0,23.0,21.5,24.0,22.5,23.5
2023-06-30 21:00:00,21.5,22.5,22.0,21.5,21.0,20.174,20.5,21.5,21.0,21.0,21.0,19.0,21.5,21.5,21.0,21.5,22.562,21.5,21.5,21.5,20.0,21.0,21.5,21.5,20.5,22.0
2023-06-30 22:00:00,21.5,21.5,20.5,21.5,21.0,17.669,19.0,19.5,21.0,21.0,20.0,16.0,21.5,20.5,19.5,21.5,20.56,21.5,21.5,21.5,18.5,18.5,21.5,20.0,18.5,21.0
2023-06-30 23:00:00,21.5,19.5,19.0,21.5,21.0,15.664,17.0,17.5,21.5,21.0,18.0,14.5,21.5,18.0,17.0,21.5,18.558,21.5,21.5,21.5,16.5,17.0,21.5,18.5,17.0,19.0
2023-07-01 00:00:00,21.5,17.0,16.5,21.5,21.0,14.661,15.5,16.5,21.5,21.0,16.0,12.5,21.5,15.5,16.0,21.5,16.555,21.5,21.5,21.5,15.0,15.5,21.5,16.5,15.5,17.5
2023-07-01 01:00:00,21.5,16.0,15.5,21.5,21.0,13.657,14.0,15.0,21.5,21.0,14.5,11.5,21.5,12.5,14.5,21.5,15.053,21.5,21.5,21.5,14.0,14.0,21.5,15.0,14.0,16.0
2023-07-01 02:00:00,21.5,15.0,14.5,21.5,21.0,12.152,13.0,13.5,21.5,21.0,14.0,10.5,21.5,12.0,13.5,21.5,14.552,21.5,21.5,21.5,13.0,13.5,21.5,13.5,13.5,15.0
2023-07-01 03:00:00,21.5,14.0,13.5,21.5,21.0,11.65,12.0,13.0,21.0,21.0,13.5,9.5,21.5,11.5,12.5,21.5,13.55,21.5,21.5,21.5,12.0,13.0,21.5,13.0,12.5,14.5
2023-07-01 04:00:00,21.5,13.5,12.5,21.5,21.0,10.645,11.5,12.5,21.0,21.0,12.5,9.0,21.5,11.0,11.5,21.5,13.049,21.5,21.5,21.5,11.0,12.0,21.5,12.0,11.5,13.5
2023-07-01 05:00:00,21.5,13.0,12.0,21.5,21.0,10.143,11.0,11.5,21.0,21.0,12.0,8.5,21.5,11.0,11.0,21.0,12.548,21.5,21.0,21.0,10.5,11.0,21.0,11.5,10.5,12.5
2023-07-01 06:00:00,21.5,12.5,12.0,21.5,21.0,10.143,10.5,12.5,21.0,21.0,11.5,8.0,21.5,11.0,10.5,21.0,12.046,21.5,21.0,21.0,10.5,10.5,21.0,11.0,10.0,12.5
2023-07-01 07:00:00,21.5,13.5,12.5,21.5,21.0,10.645,16.5,14.5,21.0,21.0,11.5,9.0,21.5,12.0,11.0,21.0,13.55,21.5,21.0,21.0,10.5,13.0,21.0,11.5,11.0,13.5
2023-07-01 08:00:00,21.5,14.5,14.5,21.5,21.0,13.657,17.5,16.0,21.0,21.0,13.5,10.5,21.5,13.0,12.0,21.0,14.552,21.5,21.0,21.0,12.0,13.5,21.0,14.0,13.5,14.5
2023-07-01 09:00:00,21.5,16.0,15.5,21.5,21.0,15.162,18.0,17.5,21.0,21.0,18.0,13.0,21.5,15.0,14.0,21.0,17.557,21.5,21.0,21.5,14.5,18.5,21.0,16.5,16.0,17.0
2023-07-01 10:00:00,21.5,18.5,18.0,21.5,21.0,16.666,21.0,17.0,21.0,21.0,20.5,16.0,21.5,18.0,16.0,21.5,20.06,21.5,21.5,21.5,16.5,23.5,21.5,19.0,19.0,17.5
2023-07-01 11:00:00,21.5,20.0,19.5,21.5,21.0,18.671,21.0,18.0,21.5,21.0,20.5,18.0,21.5,22.0,17.5,21.5,21.061,21.5,21.5,21.5,18.0,22.5,21.5,21.5,21.0,19.5
2023-07-01 12:00:00,21.5,22.5,21.0,21.5,21.5,20.174,22.5,19.5,21.5,21.5,22.5,19.5,21.5,23.0,20.0,21.5,23.062,21.5,21.5,21.5,19.5,23.0,21.5,24.0,23.0,20.5
2023-07-01 13:00:00,22.0,23.0,22.0,21.5,21.5,21.676,23.0,21.0,21.5,21.5,23.5,21.0,22.0,24.0,21.0,21.5,24.562,21.5,21.5,21.5,21.0,24.0,21.5,24.5,24.0,21.5
2023-07-01 14:00:00,22.0,24.0,24.0,22.0,21.5,22.677,25.0,22.0,21.5,21.5,24.5,22.5,22.0,24.5,23.0,22.0,25.063,22.0,22.0,22.0,22.0,25.0,22.0,26.0,25.5,23.0
2023-07-01 15:00:00,22.0,25.0,25.0,22.0,21.5,23.677,25.5,23.0,22.0,22.0,25.0,24.0,22.0,25.5,24.0,22.0,26.563,22.0,22.0,22.0,23.5,25.5,22.0,27.0,26.0,23.5
2023-07-01 16:00:00,22.0,25.5,26.0,22.0,22.0,24.178,27.5,23.5,22.0,22.0,26.5,24.5,22.0,26.5,25.5,22.0,27.562,22.0,22.0,22.0,24.0,26.5,22.0,28.0,27.0,25.5
2023-07-01 17:00:00,22.5,26.5,26.0,22.0,22.0,24.678,26.5,25.0,22.0,22.0,27.0,25.0,22.5,26.5,25.0,22.0,27.562,22.0,22.0,22.0,24.5,26.5,22.0,27.0,27.0,27.0
2023-07-01 18:00:00,22.5,25.5,25.5,22.5,22.0,24.178,24.5,25.0,22.0,22.0,26.5,24.5,22.5,26.5,24.5,22.0,26.563,22.0,22.0,22.0,24.0,25.5,22.0,26.0,26.5,26.5
2023-07-01 19:00:00,22.5,25.5,24.5,22.5,22.0,22.677,23.5,24.5,22.0,22.0,25.0,23.0,22.5,25.5,23.5,22.0,26.063,22.0,22.0,22.0,23.0,24.0,22.0,26.0,25.0,26.5
2023-07-01 20:00:00,22.5,23.5,24.0,22.0,22.0,21.676,22.0,22.5,22.0,22.0,22.5,21.5,22.5,23.0,23.0,22.0,24.562,22.0,22.0,22.0,21.5,22.5,22.0,24.0,22.5,22.5
2023-07-01 21:00:00,22.5,22.0,21.5,22.0,22.0,20.174,20.5,21.5,22.0,22.0,21.0,19.5,22.0,21.5,20.5,22.0,22.061,22.0,22.0,22.0,20.0,21.0,22.0,21.0,20.5,21.5
2023-07-01 22:00:00,22.0,20.5,20.0,22.0,22.0,18.17,19.0,19.5,22.0,22.0,19.5,17.5,22.0,20.0,18.5,22.0,20.56,22.0,22.0,22.0,18.5,19.5,22.0,20.0,19.0,21.0
2023-07-01 23:00:00,22.0,19.5,18.5,22.0,22.0,16.666,17.5,18.5,22.0,22.0,19.0,15.0,22.0,18.5,17.0,22.0,19.059,22.0,22.0,22.0,17.5,18.0,22.0,19.0,17.0,19.5
2023-07-02 00:00:00,22.0,18.5,17.5,22.0,21.5,15.664,16.5,17.5,22.0,21.5,16.5,13.5,22.0,16.5,16.5,22.0,18.558,22.0,22.0,22.0,16.5,16.5,22.0,17.5,16.0,19.0
2023-07-02 01:00:00,22.0,17.5,17.0,22.0,21.5,14.661,15.5,16.5,22.0,21.5,17.0,12.5,22.0,14.5,15.5,22.0,17.557,22.0,22.0,22.0,15.5,15.0,22.0,16.5,14.5,17.0
2023-07-02 02:00:00,22.0,16.5,16.0,22.0,21.5,14.661,14.5,15.5,22.0,21.5,15.5,11.5,22.0,13.5,14.5,22.0,17.056,22.0,22.0,22.0,15.0,14.5,22.0,15.5,13.5,17.0
2023-07-02 03:00:00,22.0,15.5,15.0,22.0,21.5,13.657,14.0,15.0,22.0,21.5,15.0,11.0,22.0,13.0,13.5,22.0,16.555,22.0,22.0,22.0,14.0,14.0,22.0,15.0,13.0,16.0
2023-07-02 04:00:00,22.0,15.0,14.5,22.0,21.5,13.155,13.5,14.5,22.0,21.5,14.0,10.5,22.0,13.0,13.5,22.0,15.554,22.0,22.0,22.0,13.5,13.0,22.0,14.0,12.0,14.5
2023-07-02 05:00:00,22.0,14.5,13.5,22.0,21.5,12.653,13.0,13.5,21.5,21.5,13.5,10.0,22.0,12.5,12.5,22.0,15.053,22.0,22.0,22.0,13.0,12.5,22.0,13.5,11.5,14.5
2023-07-02 06:00:00,22.0,14.0,13.5,22.0,21.5,12.152,12.5,14.5,21.5,21.5,13.5,10.0,22.0,12.5,12.5,22.0,15.053,22.0,22.0,22.0,12.5,12.0,22.0,13.5,11.5,14.5
2023-07-02 07:00:00,22.0,15.5,15.0,22.0,21.5,12.653,17.0,16.0,21.5,21.5,14.0,10.5,22.0,13.5,13.0,22.0,16.055,22.0,22.0,22.0,13.0,14.0,22.0,14.0,13.0,15.5
2023-07-02 08:00:00,22.0,16.5,16.0,22.0,21.5,16.165,17.5,16.0,21.5,21.5,16.0,13.0,22.0,14.5,14.5,22.0,18.058,22.0,22.0,22.0,14.5,15.5,22.0,16.5,16.0,17.0
2023-07-02 09:00:00,22.0,17.5,17.5,22.0,21.5,17.168,18.5,17.5,22.0,21.5,21.0,15.0,22.0,16.5,16.0,22.0,20.56,22.0,22.0,22.0,16.5,19.5,22.0,18.0,18.0,19.0
2023-07-02 10:00:00,22.0,19.5,19.0,22.0,21.5,18.17,20.0,19.0,22.0,21.5,21.0,17.0,22.0,19.5,18.0,22.0,22.562,22.0,22.0,22.0,18.0,24.0,22.0,21.0,20.5,20.0
2023-07-02 11:00:00,22.0,20.5,21.0,22.0,22.0,19.673,20.5,20.5,22.0,22.0,22.0,18.5,22.0,22.0,19.0,22.0,22.562,22.0,22.0,22.0,19.0,23.5,22.0,23.0,22.0,21.0
2023-07-02 12:00:00,22.5,22.0,21.5,22.0,22.0,21.175,22.5,21.0,22.0,22.0,23.5,20.0,22.0,24.0,20.5,22.0,23.562,22.0,22.0,22.0,20.5,24.0,22.0,25.0,22.5,22.0
2023-07-02 13:00:00,22.5,24.5,23.5,22.5,22.0,22.677,23.5,22.5,22.0,22.0,24.5,21.5,22.5,25.0,23.0,22.5,25.563,22.5,22.5,22.5,22.0,24.0,22.5,25.0,24.5,23.0
2023-07-02 14:00:00,22.5,25.0,24.5,22.5,22.0,23.677,24.5,23.5,22.5,22.5,24.5,22.5,22.5,25.0,23.5,22.5,26.563,22.5,22.5,22.5,23.0,25.5,22.5,27.0,25.5,23.5
2023-07-02 15:00:00,22.5,25.5,25.5,22.5,22.5,24.178,26.5,24.5,22.5,22.5,26.0,23.5,22.5,26.0,24.5,22.5,27.562,22.5,22.5,22.5,24.0,26.5,22.5,28.0,26.5,24.0
2023-07-02 16:00:00,23.0,26.0,26.5,22.5,22.5,24.678,27.5,24.5,22.5,22.5,26.0,24.5,23.0,26.5,25.0,22.5,28.062,22.5,22.5,23.0,24.0,26.0,22.5,29.5,27.0,25.5
2023-07-02 17:00:00,23.0,26.5,26.5,23.0,22.5,25.178,27.0,25.0,22.5,22.5,28.5,24.5,23.0,27.0,25.5,22.5,28.062,22.5,23.0,23.0,24.5,26.5,23.0,30.0,28.0,27.0
2023-07-02 18:00:00,23.0,26.5,27.0,23.0,22.5,25.678,26.5,25.5,22.5,22.5,29.0,25.0,23.0,27.5,26.0,23.0,27.562,23.0,23.0,23.0,24.5,26.5,23.0,30.0,28.0,30.5
2023-07-02 19:00:00,23.0,26.5,27.0,23.0,22.5,25.178,26.0,25.5,22.5,22.5,27.5,24.5,23.0,27.0,26.5,23.0,27.562,23.0,23.0,23.0,24.0,26.0,23.0,31.5,27.5,31.0
2023-07-02 20:00:00,23.0,25.0,27.0,23.0,22.5,23.677,25.0,24.5,22.5,22.5,25.5,23.0,23.0,25.5,29.0,23.0,26.563,23.0,23.0,23.0,23.0,24.5,23.0,30.5,26.0,25.5
2023-07-02 21:00:00,23.0,23.5,24.5,23.0,22.5,21.676,23.5,23.0,22.5,22.5,23.5,20.0,23.0,23.5,23.5,22.5,24.562,23.0,23.0,23.0,21.5,22.0,22.5,26.0,22.5,24.0
2023-07-02 22:00:00,23.0,22.5,22.5,23.0,22.5,19.673,21.0,21.5,22.5,22.5,22.5,17.0,23.0,21.5,21.0,22.5,23.062,22.5,22.5,22.5,20.5,20.0,22.5,23.5,19.5,21.5
2023-07-02 23:00:00,23.0,21.5,21.0,22.5,22.5,18.17,20.0,20.0,22.5,22.5,20.5,15.5,23.0,20.0,19.5,22.5,20.56,22.5,22.5,22.5,19.0,18.5,22.5,21.5,18.0,21.0
2023-07-03 00:00:00,23.0,20.5,19.5,22.5,22.5,16.666,18.5,19.0,22.5,22.5,18.0,14.0,22.5,17.5,18.0,22.5,20.06,22.5,22.5,22.5,18.0,17.0,22.5,19.5,16.5,20.0
2023-07-03 01:00:00,22.5,19.5,18.5,22.5,22.5,16.165,17.0,18.5,22.5,22.5,18.0,13.0,22.5,15.0,17.0,22.5,18.058,22.5,22.5,22.5,17.0,16.0,22.5,18.5,15.0,18.0
2023-07-03 02:00:00,22.5,18.5,17.0,22.5,22.5,14.661,15.5,17.0,22.5,22.5,16.5,12.0,22.5,14.0,15.5,22.5,17.557,22.5,22.5,22.5,15.5,14.5,22.5,17.0,13.5,17.0
2023-07-03 03:00:00,22.5,17.5,16.0,22.5,22.5,14.159,14.5,15.5,22.5,22.5,15.0,11.0,22.5,13.5,14.5,22.5,16.055,22.5,22.5,22.5,15.0,13.5,22.5,16.0,12.5,16.5
2023-07-03 04:00:00,22.5,16.5,15.5,22.5,22.0,13.155,13.5,14.5,22.5,22.0,15.0,10.5,22.5,13.0,13.5,22.5,15.053,22.5,22.5,22.5,14.0,13.0,22.5,15.0,11.5,15.5
2023-07-03 05:00:00,22.5,15.0,14.5,22.5,22.0,12.653,13.0,13.5,22.5,22.0,13.5,9.5,22.5,12.5,12.5,22.5,14.552,22.5,22.5,22.5,13.0,12.0,22.5,13.5,11.0,14.5
2023-07-03 06:00:00,22.5,14.5,14.0,22.5,22.0,12.152,12.5,14.5,22.0,22.0,13.5,9.0,22.5,12.5,12.0,22.0,14.051,22.5,22.0,22.0,13.0,11.5,22.0,13.5,10.5,14.5
2023-07-03 07:00:00,22.0,15.5,15.0,22.0,21.5,12.653,19.0,16.5,22.0,21.5,14.0,10.0,22.0,13.5,13.0,22.0,15.554,22.0,22.0,22.0,13.5,13.0,22.0,14.5,12.0,15.5
2023-07-03 08:00:00,22.0,17.0,16.5,21.5,21.5,15.664,20.5,16.5,21.5,21.0,16.5,12.5,21.5,15.0,14.5,21.5,17.557,21.5,21.5,21.5,14.5,15.0,21.5,17.5,16.5,17.0
2023-07-03 09:00:00,21.5,18.5,19.0,21.5,21.0,18.17,20.5,18.0,21.5,21.0,21.0,15.0,21.5,17.5,17.0,21.5,21.561,21.5,21.0,21.5,17.0,21.0,21.5,20.0,19.5,20.0
2023-07-03 10:00:00,21.5,20.5,21.0,21.0,21.0,19.673,22.0,20.0,21.0,21.0,23.0,18.0,21.5,21.0,19.0,21.0,21.561,21.0,21.0,21.0,19.0,24.5,21.0,22.5,21.5,20.5
2023-07-03 11:00:00,21.5,22.5,22.0,21.0,21.0,21.175,23.0,21.0,21.0,21.0,22.5,19.5,21.0,23.5,20.5,21.0,22.562,21.0,21.0,21.0,20.0,24.5,21.0,24.5,23.0,22.0
2023-07-03 12:00:00,21.5,24.0,23.0,21.0,21.0,22.677,24.5,22.0,21.0,21.0,24.5,21.0,21.0,24.5,22.0,21.0,25.563,21.0,21.0,21.0,22.0,25.0,21.0,26.0,25.0,23.0
2023-07-03 13:00:00,21.5,25.0,24.5,21.0,21.0,23.177,25.5,23.0,21.0,21.0,25.0,22.5,21.0,25.5,23.0,21.0,26.563,21.0,21.0,21.0,23.0,26.0,21.0,27.0,26.5,23.5
2023-07-03 14:00:00,21.5,26.0,25.5,21.0,21.0,24.678,26.5,24.5,21.0,21.0,26.5,24.0,21.5,26.5,25.5,21.0,28.062,21.0,21.0,21.0,24.5,26.5,21.0,29.0,27.5,24.5
2023-07-03 15:00:00,21.5,27.0,27.0,21.5,21.0,25.678,27.5,25.5,21.0,21.0,27.5,25.0,21.5,27.0,26.0,21.5,29.062,21.5,21.0,21.5,25.0,28.0,21.5,30.0,29.0,26.0
2023-07-03 16:00:00,21.5,27.5,27.5,21.5,21.0,26.178,29.0,26.0,21.5,21.0,29.0,25.5,21.5,28.0,27.0,21.5,29.561,21.5,21.5,21.5,25.5,28.0,21.5,31.0,29.0,27.0
2023-07-03 17:00:00,21.5,27.5,28.5,21.5,21.5,26.678,29.0,26.5,21.5,21.0,30.0,26.0,21.5,29.0,27.5,21.5,29.062,21.5,21.5,21.5,26.0,28.5,21.5,31.5,30.0,28.0
2023-07-03 18:00:00,22.0,27.5,28.5,21.5,21.5,26.678,28.0,26.5,21.5,21.5,30.0,26.5,22.0,28.5,27.5,21.5,29.062,21.5,21.5,21.5,26.0,28.0,21.5,31.0,30.0,30.0
2023-07-03 19:00:00,22.0,27.0,27.0,22.0,21.5,26.178,27.5,26.5,22.0,22.0,29.0,25.0,22.0,27.5,27.0,22.0,28.562,22.0,22.0,22.0,25.0,27.0,22.0,31.0,29.0,29.0
2023-07-03 20:00:00,22.5,25.5,27.5,22.0,22.0,24.178,26.0,25.0,22.0,22.0,26.5,23.5,22.0,26.5,27.5,22.0,27.562,22.0,22.0,22.0,23.5,26.0,22.0,30.0,27.0,26.5
2023-07-03 21:00:00,22.5,24.5,25.0,22.5,22.0,22.677,24.5,23.5,22.0,22.0,24.5,20.0,22.5,24.5,23.5,22.0,25.063,22.5,22.0,22.0,22.0,24.0,22.0,26.5,25.0,24.0
2023-07-03 22:00:00,22.5,23.0,23.0,22.5,22.0,21.175,23.0,22.5,22.0,22.0,23.5,17.5,22.5,23.0,21.5,22.5,23.562,22.5,22.5,22.5,20.5,20.5,22.5,24.5,21.5,23.5
2023-07-03 23:00:00,22.5,22.0,21.5,22.5,22.0,19.172,21.0,21.0,22.0,22.0,21.5,15.5,22.5,21.5,19.5,22.5,21.061,22.5,22.5,22.5,19.5,19.0,22.5,22.5,18.5,21.0
2023-07-04 00:00:00,22.5,21.0,20.5,22.5,22.0,17.669,19.0,19.5,22.0,22.0,18.5,14.5,22.5,19.0,18.0,22.5,19.059,22.5,22.5,22.5,19.0,17.5,22.5,20.0,16.5,19.5
2023-07-04 01:00:00,22.5,19.5,19.0,22.5,22.0,16.666,18.0,18.0,22.0,22.0,18.0,13.5,22.5,16.0,17.0,22.0,18.058,22.5,22.5,22.5,18.5,16.5,22.5,19.5,15.5,18.5
2023-07-04 02:00:00,22.5,19.0,18.0,22.5,22.0,16.165,17.0,17.0,22.0,22.0,17.0,12.5,22.5,15.0,15.5,22.0,17.056,22.5,22.0,22.0,17.5,15.5,22.0,18.0,14.5,17.5
2023-07-04 03:00:00,22.5,18.0,16.5,22.5,22.0,15.162,16.0,16.0,22.0,22.0,17.0,11.5,22.5,14.5,15.0,22.0,16.055,22.5,22.0,22.0,16.5,14.5,22.0,17.5,13.5,17.0
2023-07-04 04:00:00,22.5,16.5,15.5,22.5,22.0,14.159,15.0,15.5,22.0,22.0,15.5,11.0,22.5,14.0,14.0,22.0,15.554,22.0,22.0,22.0,15.5,13.5,22.0,16.0,12.0,15.5
2023-07-04 05:00:00,22.5,16.0,15.0,22.0,22.0,14.159,14.0,15.0,22.0,22.0,15.0,10.5,22.5,14.0,13.5,22.0,14.552,22.0,22.0,22.0,15.0,13.0,22.0,15.5,11.5,15.0
2023-07-04 06:00:00,22.5,15.5,14.5,22.0,22.0,13.657,14.0,15.0,22.0,22.0,14.5,10.5,22.0,13.5,13.0,22.0,14.552,22.0,22.0,22.0,14.5,12.5,22.0,15.0,12.0,14.5
2023-07-04 07:00:00,22.5,17.0,16.0,22.0,22.0,14.159,18.5,17.0,22.0,22.0,15.5,11.5,22.0,14.5,13.5,22.0,17.056,22.0,22.0,22.0,15.0,14.5,22.0,16.0,13.5,16.0
