1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CE0000007F254341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Jun 29 09:59:01 PDT 2023
Mission Sample Count:  1152
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jun 29 09:59:01 PDT 2023
Total Mission Samples:  1152
Total Device Samples:  11250
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/29/23 9:59:01 AM,%RH,61.38
6/29/23 10:59:01 AM,%RH,50.898
6/29/23 11:59:01 AM,%RH,45.795
6/29/23 12:59:01 PM,%RH,41.896
6/29/23 1:59:01 PM,%RH,43.854
6/29/23 2:59:01 PM,%RH,34.589
6/29/23 3:59:01 PM,%RH,46.439
6/29/23 4:59:01 PM,%RH,43.203
6/29/23 5:59:01 PM,%RH,46.439
6/29/23 6:59:01 PM,%RH,51.529
6/29/23 7:59:01 PM,%RH,56.509
6/29/23 8:59:01 PM,%RH,64.368
6/29/23 9:59:01 PM,%RH,65.552
6/29/23 10:59:01 PM,%RH,74.775
6/29/23 11:59:01 PM,%RH,82.487
6/30/23 12:59:01 AM,%RH,87.267
6/30/23 1:59:01 AM,%RH,90.378
6/30/23 2:59:01 AM,%RH,92.417
6/30/23 3:59:01 AM,%RH,95.425
6/30/23 4:59:01 AM,%RH,95.921
6/30/23 5:59:01 AM,%RH,95.425
6/30/23 6:59:01 AM,%RH,94.928
6/30/23 7:59:01 AM,%RH,93.929
6/30/23 8:59:01 AM,%RH,92.417
6/30/23 9:59:01 AM,%RH,90.89
6/30/23 10:59:01 AM,%RH,84.629
6/30/23 11:59:01 AM,%RH,75.337
6/30/23 12:59:01 PM,%RH,68.481
6/30/23 1:59:01 PM,%RH,64.961
6/30/23 2:59:01 PM,%RH,62.58
6/30/23 3:59:01 PM,%RH,55.892
6/30/23 4:59:01 PM,%RH,54.654
6/30/23 5:59:01 PM,%RH,51.529
6/30/23 6:59:01 PM,%RH,48.998
6/30/23 7:59:01 PM,%RH,50.266
6/30/23 8:59:01 PM,%RH,50.266
6/30/23 9:59:01 PM,%RH,58.348
6/30/23 10:59:01 PM,%RH,66.141
6/30/23 11:59:01 PM,%RH,71.368
7/1/23 12:59:01 AM,%RH,76.456
7/1/23 1:59:01 AM,%RH,81.405
7/1/23 2:59:01 AM,%RH,84.096
7/1/23 3:59:01 AM,%RH,86.743
7/1/23 4:59:01 AM,%RH,88.311
7/1/23 5:59:01 AM,%RH,91.401
7/1/23 6:59:01 AM,%RH,89.864
